Date,Open,High,Low,Close,Adj Close,Volume
2000-06-16,128.141006,132.656006,127.328003,131.104004,4.452959,32008768
2000-06-19,131.250000,135.438004,128.921997,133.839005,4.545853,39349376
2000-06-20,133.358994,139.843994,133.358994,136.389999,4.632499,25223040
2000-06-21,139.061996,139.061996,131.718994,132.824005,4.511378,27506944
2000-06-22,132.811996,134.266006,131.266006,133.009003,4.517663,21713344
2000-06-23,132.750000,132.750000,127.594002,129.050995,4.383228,22021824
2000-06-26,128.126007,128.126007,122.657997,126.299004,4.289757,17510144
2000-06-27,127.796997,129.826996,125.078003,127.460999,4.329224,19903872
2000-06-28,126.561996,129.061996,123.469002,128.386993,4.360676,12160960
2000-06-29,129.203003,135.141006,129.203003,131.102005,4.452892,16867520
2000-06-30,129.781006,130.468994,127.359001,129.850006,4.410367,15405760
2000-07-03,131.093994,134.671997,131.093994,134.117996,4.555329,21234432
2000-07-04,134.688004,137.468994,134.391006,136.716003,4.643570,22397056
2000-07-05,137.311996,137.688004,133.688004,134.382004,4.564297,15825792
2000-07-06,133.828003,133.828003,130.781006,132.315994,4.494124,13693696
2000-07-07,132.654999,134.684998,132.126999,132.619995,4.504449,16222208
2000-07-10,132.968994,133.750000,129.125000,129.634003,4.403031,15590016
2000-07-11,130.203003,133.203003,128.750000,129.270004,4.390667,26963328
2000-07-12,129.296997,131.233994,126.405998,130.649002,4.437504,29184832
2000-07-13,132.000000,133.279999,124.219002,125.487000,4.262177,27476480
2000-07-14,123.438004,125.594002,120.015999,121.406998,4.123600,54850688
2000-07-17,121.094002,122.185997,118.905998,120.196999,4.082501,26524928
2000-07-18,120.265999,120.296997,115.188004,116.476997,3.956152,38106752
2000-07-19,110.946999,116.875000,110.658997,114.455002,3.887474,30771840
2000-07-20,113.921997,115.225998,112.578003,114.801003,3.899226,22578560
2000-07-21,115.225998,117.344002,114.078003,114.833000,3.900313,28321024
2000-07-24,113.469002,113.469002,105.719002,107.058998,3.636268,33885440
2000-07-25,101.561996,113.203003,99.250000,111.225998,3.777801,49228288
2000-07-26,113.561996,114.046997,103.142998,104.001999,3.532436,34172416
2000-07-27,103.125000,107.015999,99.296898,106.050003,3.601998,39879680
2000-07-28,106.640999,110.390999,105.015999,106.958000,3.632838,44182464
2000-07-31,107.030998,107.953003,103.921997,105.644997,3.588241,21621248
2000-08-01,106.875000,107.780998,104.884003,105.440002,3.581278,23805504
2000-08-02,103.500000,104.030998,101.328003,103.547997,3.517016,26991616
2000-08-03,102.811996,102.811996,98.437500,100.791000,3.423375,26974272
2000-08-04,100.171997,103.578003,97.743797,98.831299,3.356813,45206336
2000-08-07,99.515602,101.405998,98.750000,100.606003,3.417092,24836928
2000-08-08,101.405998,116.704002,101.405998,116.551003,3.958664,75971520
2000-08-09,120.155998,122.500000,117.578003,118.306999,4.018306,45188416
2000-08-10,117.344002,119.905998,112.833000,113.601997,3.858502,34988928
2000-08-11,113.078003,117.109001,111.484001,113.055000,3.839923,51963008
2000-08-14,113.984001,114.796997,112.046997,113.758003,3.863801,30925184
2000-08-15,null,null,null,null,null,null
2000-08-16,116.015999,121.703003,115.796997,120.863998,4.105155,42290944
2000-08-17,121.375000,122.250000,117.655998,118.153999,4.013110,23591296
2000-08-18,118.002998,125.234001,118.002998,124.544998,4.230181,75263168
2000-08-21,124.984001,126.311996,121.890999,124.467003,4.227531,43158912
2000-08-22,124.765999,134.421997,124.765999,129.623001,4.402656,42816704
2000-08-23,127.234001,128.278000,125.015999,125.716003,4.269956,25796928
2000-08-24,125.000000,129.296997,124.390999,128.298004,4.357653,36830464
2000-08-25,129.296997,129.998001,126.561996,127.434998,4.328341,35749120
2000-08-28,127.188004,128.125000,121.484001,121.842003,4.138374,25876480
2000-08-29,121.095001,123.594002,119.859001,122.523003,4.161504,31858112
2000-08-30,121.890999,124.530998,121.875000,122.691002,4.167210,24905024
2000-08-31,122.265999,132.343994,122.040001,130.106003,4.419062,93071232
2000-09-01,null,null,null,null,null,null
2000-09-04,131.250000,135.938004,131.250000,134.522003,4.569051,43716224
2000-09-05,134.688004,135.141006,132.421997,133.313995,4.528021,25474368
2000-09-06,131.438004,132.328003,129.220001,130.632996,4.436960,26717312
2000-09-07,129.453003,132.000000,128.455002,130.595001,4.435670,32404992
2000-09-08,131.093994,134.983994,131.093994,134.104996,4.554887,51575296
2000-09-11,134.375000,137.891006,132.656006,135.651993,4.607431,53541568
2000-09-12,135.938004,139.281006,133.908005,138.147003,4.692174,56493952
2000-09-13,137.625000,139.828003,135.546997,136.188995,4.625672,56983296
2000-09-14,136.328003,138.046997,130.641006,134.242996,4.559574,83144704
2000-09-15,132.983994,134.750000,132.031006,132.778000,4.509817,54026048
2000-09-18,132.061996,132.061996,124.453003,125.103996,4.249167,53970496
2000-09-19,123.515999,124.140999,115.780998,119.402000,4.055501,52265984
2000-09-20,122.655998,124.609001,118.359001,121.819000,4.137592,22970176
2000-09-21,121.046997,121.265999,117.969002,118.433998,4.022620,21081664
2000-09-22,117.594002,117.594002,108.984001,110.018997,3.736805,51416128
2000-09-25,114.515999,118.820000,114.061996,117.830002,4.002107,36492672
2000-09-26,119.530998,119.530998,112.376999,113.247002,3.846444,33702976
2000-09-27,112.500000,117.500000,109.780998,116.580002,3.959650,42644736
2000-09-28,116.265999,118.671997,113.306000,115.262001,3.914885,33791104
2000-09-29,115.828003,117.344002,114.469002,115.019997,3.906664,29249344
